title,director,cast,country,release_year,rating,listed_in,description,runtime
Hero,P.S. Mithran,"Sivakarthikeyan, Arjun Sarja, Abhay Deol, Kalyani Priyadarshan, Ivana",India,2019,16+,"Action, Drama, International","Set in Chennai sub-urbs, the story of ‘HERO’ missions a racy journey of Sakthi (Sivakarthikeyan) who takes it upon himself to safeguard the current education system, one that could potentially be the most rewarding to all stakeholders in society, from the ensuing conflicts that erupts between him and Mahadev (Abhay Deol), the gatekeeper of corporate lobbying.",159
Hello Guru Prema Kosame,Trinadha Rao Nakkina,"Ram Pothineni, Anupama Parmeshwaran",India,2018,13+,"International, Romance","After a rocky start, a friendship develops between a happy-go-lucky youth and a girl from the city.",136
Harold and Maude,Hal Ashby,"Ruth Gordon, Bud Cort, Tom Skerritt",United States,1971,PG,"Comedy, Drama","Harold is young, rich and obsessed with death. Maude is a lovable a fun-loving 80-year-old eccentric. When the two meet at a funeral and develop a deep bond, they must reconcile their disparate beliefs about the meaning life.",92
Gumnaami - Hindi,Srijit Mukherji,"Prosenjit Chatterjee, Anirban Bhattacharya, Tanusree Chakraborty",India,2020,13+,"Drama, Suspense","How did Netaji disappear? This Bengali film raises the question, based on the Mukhejee Commission Hearings.",139
Gulabo Sitabo (4K UHD),Shoojit Sircar,"Amitabh Bachchan, Ayushmann Khurrana, Farrukh Jafar, Vijay Raaz, Brijendra Kala, Srishti Shrivastava",India,2020,16+,International,"Set in present day Lucknow (India), Gulabo Sitabo is a social satire about two impossibly peculiar human beings - Mirza Chunnan Nawab, who stays in a dilapidated mansion and one of the tenants, Baankey Rastogi. The mansion may have seen many dramas unfold over a century of its existence, but still has a final act left as the drama of battle of ownership unfolds, with a priceless lesson to teach.",125
Griefwalker,Tim Wilson,,Canada,2008,16+,Documentary,"An extraordinary portrait of Harvard-trained theologian Stephen Jenkinson, who teaches that death empowers us to live and that we must know grief well in order to appreciate our own lives. Many may find Jenkinson's belief that our deaths are not something to be denied or avoided but 'befriended' as challenging; he points out that not every culture fears death as we do.",70
Green is Gold,Ryon Baxter,"Jimmy Baxter, Ryon Baxter, David Fine, Shelley Mitchell, Ian Mcdavid, Liz Clare",United States,2016,R,"Arts, Entertainment, and Culture, Drama, Young Adult Audience","A thirteen year old boy is forced to live with his estranged brother after their father is sent to prison. Their relationship is soon tested when the older brother's occupation as a marijuana dealer infringes on his ability not only to raise his brother, but to even take care of himself. Through their tribulations, they discover that by working together they can beat the odds.",82
Goyenda Junior,Mainak Bhaumik,"Rwitobroto Mukherjee, Shantilal Mukherjee, Anusha Viswanathan",India,2019,ALL,"International, Suspense","Bikram (Rwitobroto Mukherjee), a teenage boy, spends his days mooning over his crush Tuki (Anusha Viswanathan), and reading lots of crime fiction. An odd twist of events leads Bikram on a quest to solve the perfect crime - a murder cleverly disguised as a natural death !",118
Goodachari,Sashi Kiran Tikka,"Adivi Sesh, Sobhita Dhulipala, Madhu Shalini",India,2018,18+,"International, Suspense","After being trained in an ultra competitive secret service program, Arjun, A young agent is framed for the murder of his bosses, suddenly turning him into India's most wanted criminal. Who framed him? And why? For someone who was taught that the 'mission' is everything, Arjun now realizes that now his mission is darker than expected.",142
Gleason,Clay Tweel,"Steve Gleason, Michel Varisco, Rivers Gleason, Scott Fujita, Drew Brees, Mike Mccready, Blair Casey, Eddie Vedder",United States,2016,R,"Documentary, Sports","At the age of 34, Steve Gleason, former NFL defensive back and New Orleans hero, was diagnosed with ALS. Doctors gave him two to five years to live. So that is what Steve chose to do: live. This film incorporates personal video journals from Gleason for his then-unborn son to footage of his adventures undertaken as part of his mission to live his life to the fullest.",111
Girlz,Vishal Devrukhkar,"Ankita Lande, Ketaki Narayan, Anvita Phaltankar, Parth Bhalerao, Devika Daftardar",India,2019,13+,"Comedy, Drama","An 18 year teenager Mati, wants to live a bold life like many other girls. Her mother realizes this & imposes restrictions on her. She feels dejected and thinks her life has become boring and worthless. She embarks on a solo trip to Goa & makes friends with two more young girls of her age, who comes from different family backgrounds.",135
Gimme Danger,Jim Jarmusch,"Iggy Pop, Ron Asheton, ScottAsheton, James Williamson, Steve Mackay, Mike Watt, Kathy Asheton, Danny Fields",United States,2016,R,"Documentary, Music Videos and Concerts, Special Interest","Jim Jarmusch’s new film GIMME DANGER chronicles the story of The Stooges, one of the greatest rock-n-roll bands of all time.",109
Ghawre Bairey Aaj,Aparna Sen,"Anirban Bhattacharya, Jisshu U Sengupta, Tuhina Das",India,2019,16+,Drama,"A modern retelling of Rabindranath Tagore's classic novel, the film chronicles a triangular love story which is as much a story of passionate romance as it is of clashing ideologies.",134
Get Duked!,Ninian Doff,"Eddie Izzard, Kate Dickie, James Cosmo, Samuel Bottomley, Viraj Juneja, Rian Gordon, Lewis Gribben",United Kingdom,2020,16+,"Adventure, Comedy","Get Duked is an anarchic, hip-hop inspired comedy that follows four city boys on a wilderness trek as they try to escape a mysterious huntsman.",87
Generation Wealth,Lauren Greenfield,,United States,2018,18+,"Arthouse, Documentary","Lauren Greenfield’s postcard from the edge of the American Empire captures a portrait of a materialistic, image-obsessed culture. Simultaneously personal journey and historical essay, the film bears witness to the global boom–bust economy, the corrupted American Dream, and the human costs of late stage capitalism, narcissism, and greed.",106
Generation Aami,Mainak Bhaumik,"Sauraseni Maitra, Rwitobroto Mukherjee, Shantilal Mukherjee, Aparajita Auddy",India,2018,13+,"Arts, Entertainment, and Culture, Drama, International","This is a coming-of-age story of friendship, parenting, growing up and finding yourself. A 17-year-old boy's relationship with his parents is tested as he discovers teenage rebellion and fun in the company of a cool but troubled 19-year-old girl who shakes things up giving him the courage to be true to himself.",119
Gascoigne,Jane Preston,"Paul Gascoigne, Vinnie Jones, Gary Lineker, José Mourinho",United Kingdom,2015,16+,Documentary,"Celebrating the life and achievements of naturally gifted Paul Gascoigne, a legendary young English soccer player who won the hearts of the English nation. From his humble beginnings through to his international stardom within the football world .The documentary features interviews with soccer legends Vinnie Jones, Gary Lineker, José Mourinho and Wayne Rooney.",87
French Biriyani,Pannaga Bharana,"Danish Sait, Disha Madan, Rangayana Raghu, Nagabhushana, Sindhu Murty, Mahantesh Hiremath, Sampath Kumar, Mohammed Ashraf, Kirthana Kumar, Michael Madhu, Pitobash, Nagesh Jaikumar, Prashanth, RJ Vikish, Chikkanna",India,2020,16+,"Action, Comedy","Simon, representative of a drug company from France and Asgar, local auto driver from Shivajinagar, share a two-day long journey in Bengaluru. That twisted journey with comedy of errors changes the way they look at life.",117
Falcon Rising,Ernie Barbarash,"Michael Jai White, Neal McDonough, Laila Ali, Jimmy Navarro, Millie Ruperto, Masashi Odate, Hazuki Kato, Lateef Crowder",United States,2014,R,Action,"The first installment in an action franchise, entitled CODENAME: FALCON, will center around former Marine John ""Falcon"" Chapman, a dark anti-hero driven by guilt and suffering from post-traumatic stress disorder, who will destroy himself unless given something else to destroy - a useful weapon-of-last-resort for the U.S. State Department.",101
Falaknuma Das,Vishwak Sen,"Vishwak Sen, Saloni Mishra, Harshita Gaur, Vivek Tony, Uttej",India,2019,18+,"Action, Drama, International","A group of youngsters led by Das establish themselves as the top gang in Falaknuma. However, their attempts to monopolise the meat business in the area leads to some unexpected consequences and drives them down a path of violence.",145
F2 - Fun and Frustration,Anil Ravipudi,"Venkatesh, Varun Tej, Tamannaah, Mehreen Pirzada",India,2019,13+,"Comedy, International","After Venky, Varun also gets married thinking he can keep the wife in control but both of them gets frustrated with the marital life which generates fun.",148
Everybody's Game,Beno Obano,"Maro Itoje, Beno Obano, Anthony Watson, Ellis Genge, Biyi Alo",United Kingdom,2020,16+,Documentary,"Coming from the most unlikely of rugby playing backgrounds these athletes share their experience rising through the ranks in rugby and how this sport that many of their peers have never heard of, has now become their livelihood.",53
ETs Among Us: UFO Witnesses and Whistleblowers,Cybela Clare,"JIM MARRS, PAUL HELLYER, CLIFFORD STONE, NICK POPE, DAVID JACOBS, WENDELLE C. STEVENS, MICHAEL SALLA, JACQUES VALLEE, RICHARD DOLAN, DAVID HATCHER CHILDRESS",United States,2016,13+,Special Interest,"This documentary exposes political motivations for the government's coverup of UFO phenomena: underground bases, reverse engineering of crashed UFOs, NASA's shocking evidence of intelligent alien life, and a history of an ongoing alien presence on Earth.",91
"ETs Among Us 2: Our Alien Origins, Antarctica, Mars and Beyond",Cybela Clare,"Linda Moulton Howe, Nick Pope, Richard Dolan, Robert Morningstar, Debbie Ziegelmeyer, Len Kasten",United States,2018,7+,Special Interest,"This sequel to the award-winning ""ETs Among Us"" covers uncharted territory: history of Antarctica and ongoing UFO connections, secret history of Mars and parallels with Moon and Antarctica, underwater ET bases, and our extraterrestrial origins. Award-winning researcher Linda Moulton Howe exposes shocking revelations of a secret Navy whistleblower.",55
Enai Noki Paayum Thota,Gautham Menon,"Dhanush, Megha Akash, Sasikumar",India,2019,16+,"Action, Suspense",A college student gets dragged into chaos when he falls in love with a girl. What starts as a whirlwind romance pulls the protagonist into controversies that changes the course of his life.,151
DSP DEV,Mandeep Benipal,"Dev Kharoud, Mehreen Pirzada, Manav Vij, Aman Dhaliwal, Girija Shankar, Shavinder Mahal, Nita Mohindra, Tarsem Paul",India,2019,13+,"Action, Drama, Suspense",DSP Dev is a corrupt officer who enjoys all the perks of being an immoral and unethical police officer. His world is shaken when he discovers the mystery behind his father's death and the culprits behind it. The film also revolves around the drug mafia prevalent in the state of Punjab and how politics is entangled in the whole business.,141
Drishyam 2,Jeethu Joseph,"Mohanlal, Meena, Siddique, Murali Gopy, Asha Sharath, Ganesh Kumar, Ansiba, Esther Anil, Anjali Nair, Saikumar, Antony Perumbavoor",India,2021,13+,Drama,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,153
Dhoom,Sanjay Gadhvi,"John Abraham, Abhishek Bachchan, Uday Chopra, Rimi Sen, Esha Deol, Manoj Joshi",India,2004,13+,"Action, International","""The tale begins in Mumbai where a gang of robbers is sweeping through the city. Officer Jai Dixit (Abhishek Bachchan) is brought in on the case and he is on the trail of the robbers - a gang headed by Kabir (John Abraham). Jai ropes in the services of Ali (Uday Chopra), a happy garage mechanic and a prodigious biker. With fast bikes, big action, DHOOM reinvents the classic cops and robbers tale.",129
Dhadak,Shashank Khaitan,"Janhvi Kapoor, Ishaan Khattar, Ashutosh Rana, Aditya Kumar, Kharaj Mukherjee",India,2018,13+,"Drama, International","Set in Rajasthan, this love story explores how the protagonists deal with issues like differences between castes and honor killings.",137
Dear Comrade,Bharat Kamma,"Vijay Deverakonda, Rashmika Mandanna",India,2019,13+,"Action, Drama, Romance","Dear Comrade is an intense love story between Bobby (Vijay Deverakonda), a student union leader and Lily (Rashmika Mandanna) a state-level cricketer. Bobby has anger management issues, which he needs to overcome and fight for his love.",167
Dawn Rider,Terry Miles,"Christian Slater, Jill Hennessey, Donald Sutherland",Canada,2012,18+,"Action, Drama, Western","When the father of gunslinger John Mason is shot to death by masked bandits, Mason sets out with guns blazing to track down those who killed him. During his quest, he finds himself involved in a grim love triangle when he falls for Alice. Based on the timeless John Wayne adventure, Dawn Rider is a riveting saga of retribution, duty and valor in the American West.",94
Crips and Bloods: Made in America,Stacy Peralta,"Jim Brown, Forest Whitaker",United States,2008,16+,Documentary,"With a first-person look at the notorious Crips and Bloods, this film examines the conditions that have lead to decades of devastating gang violence among young African Americans growing up in South Los Angeles.",94
Coolie No. 1,David Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Javed Jaffery, Rajpal Yadav, Sahil Vaid, Johny Lever, Shikha Talsania, Vikas Verma, Anil Dhawan, Manoj Joshi, Bharti Achrekar",India,2020,13+,"Comedy, Drama","After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire. Soon Raju’s real indentity is exposed but he cooks up a story of having a filthy rich twin. One lie leads to another and things start to go out of hand.",135
Cool World,Ralph Bakshi,"Kim Basinger, Gabriel Byrne, Brad Pitt, Michele Abrams",United States,1992,PG-13,"Action, Animation, Fantasy","When Jack Deebs was behind bars he found escape by creating Cool World, a cartoon series featuring a vixen named Holli Would. The flesh proves weaker than ink, however, as Holli takes human form in Las Vegas.",102
Coldplay: A Head Full Of Dreams,Mat Whitecross,"Guy Berryman, Jonny Buckland, Will Champion, Chris Martin",United Kingdom,2018,PG-13,"Documentary, Music Videos and Concerts",Long-term Coldplay collaborator Mat Whitecross blends spectacular live performances with exclusive band interviews and a huge array of previsouly-unseen archive footage to produce ‘A Head Full Of Dreams’- The definitive story of one of the world’s biggest bands.,105
City of Ghosts,Matthew Heineman,,United States,2017,R,Documentary,City of Ghosts follows the journey of “Raqqa is Being Slaughtered Silently” – a handful of anonymous activists who banded together after their homeland was taken over by ISIS in 2014.,92
Choricha Mamla,Priyadarshan Jadhav,"Jitendra Joshi, Amruta Khanvilkar, Aniket Vishwasrao, Kshitee Jog, Hemant Dhome, Kirti Pendharkar",India,2020,13+,Comedy,"Nandan robs houses for a living but never takes more than what he needs. One day while on the job, the house`s owner, Amarjit, enters with Shraddha, a girl he is having an affair with. Amarjit is about to call the police when his wife arrives. Desperate, he asks Nandan to pretend to be with Shraddha so his wife doesn`t get suspicious. The ruse gets harder to keep up, leading to a comedy of errors.",132
Chocolate City,Jean-Claude La Marre,"Robert Ri'chard, Tyson Beckford, Deray Davis, Imani Hakim, Darrin Dewitt Henson",United States,2015,R,Drama,"Michael, stage name ""Sexy Chocolate,"" is the newest exotic dancer at the hottest nightclub. Comedy, drama and mayhem ensue as Michael deals with the pressure of being the female clubgoers' favorite flavor and hiding his new ""job"" from his family.",91
Chicken People,Nicole Lucas Haimes,"Brian Caraker, Brian Knox, Shari McCollough",United States,2016,13+,"Documentary, Special Interest","SXSW, AFI Docs alum ""Chicken People"" takes a humorous and heartfelt look at the colorful and hugely competitive world of champion show chicken breeders. A real life ""Best in Show"" but about chickens, the film follows the struggles and triumphs of both humans and their chickens on the road to compete at the Ohio National Poultry Show, considered the Westminster of Chickens.",83
Chiara Ferragni: Unposted [English Subbed],Elisa Amoruso,Chiara Ferragni,Italy,2019,16+,Documentary,"[Italian audio with English subtitles. English dubbed also available – search: Chiara Unposted Dubbed] Chiara Ferragni, the first fashion influencer in the world, reveals how the digital revolution has disrupted the worlds of business, communication, fashion, and culture, through a portrait in which she's the protagonist – both as a woman and as digital entrepreneur.",88
Chhalaang,Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuchaa",India,2020,13+,"Comedy, Drama","‘Chhalaang’ is a hilarious, yet inspirational journey of a PT Master from a semi government funded school in Northern India. Montu is a typical PT Master for whom it’s just a job. When circumstances put everything that Montu cares for, at stake, including Neelu who he loves, Montu is forced to do what he has never done - Teach.",136
Catch Hell,Ryan Phillippe,"Ryan Phillippe, Ian Barford, Stephen Louis Grush",United States,2014,18+,"Action, Drama, Suspense","Former Hollywood star is kidnapped by two men connected to his past while on location in Louisiana. When he wakes up bound and chained in a rundown shack, he soon discovers the real motives of his captors and finds himself in the middle of a twisted scheme with little chance to survive. With no rescue in sight, he must use every ounce of strength he has left to break free and get his revenge.",97
C U Soon (4K UHD),Mahesh Narayan,"Fahadh Faasil, Darshana Rajendran, Roshan Mathew, Saiju Kurup, Mala Parvathy",India,2020,16+,"Drama, Suspense","Jimmy meets Anu on an online dating website and decides to marry her. Jimmy's mother entrusts his cousin Kevin to get details about Anu. Now its Kevin's turn to search for his cousin's fiancee who vanished without a trace, only to discover dark, shocking truths about her.",98
C U Soon,Mahesh Narayan,"Fahadh Faasil, Darshana Rajendran, Roshan Mathew, Saiju Kurup, Mala Parvathy",India,2020,16+,"Drama, Suspense","Jimmy meets Anu on an online dating website and decides to marry her. Jimmy's mother entrusts his cousin Kevin to get details about Anu. Now its Kevin's turn to search for his cousin's fiancee who vanished without a trace, only to discover dark, shocking truths about her.",98
Brad's Status,Mike White,"Ben Stiller, Austin Abrams, Jenna Fischer, Luke Wilson, Michael Sheen",United States,2017,R,"Comedy, Drama",A trip to Boston with his college-bound son triggers a crisis of confidence for Brad Sloan (Ben Stiller) as he reassesses his life choices in this bittersweet comedy. Now on Prime Video.,102
Boynton Beach Club,Susan Seidelman,"Dyan Cannon, Sally Kellerman, Brenda Vaccaro, Len Cariou, Joseph Bologna",United States,2006,R,"Comedy, Romance",A romantic comedy about our amazing capacity to rebound and fall in love at any age.,105
Bornoporichoy,Mainak Bhaumik,"Jisshu Sengupta, Abir Chatterjee, Priyanka Sarkar",India,2019,16+,"Drama, International","Police Detective Dhanonjoy once lost everything that was dear to him during an obsessive yet fruitless pursuit of a serial killer named Arko. When his nemesis resurfaces years later, Dhanonjoy embarks on one final crusade to end Arko's killing spree.",102
Blow The Man Down,"Danielle Krudy, Bridget Savage Cole","Morgan Saylor, Sophie Lowe, Margo Martindale, June Squibb, Annette O'Toole, Marceline Hugot",United States,2020,R,"Comedy, Drama, Suspense","Welcome to Easter Cove, a salty fishing village on the far reaches of Maine’s rocky coast. Grieving the loss of their mother and facing an uncertain future, Mary Beth and Priscilla Connolly cover up a gruesome run-in with a dangerous man. To conceal their crime, the sisters must go deeper into Easter Cove’s underbelly and uncover the town matriarchs' darkest secrets.",91
Blackmail,Abhinay Deo,"Irrfan Khan, Kirti Kulhari, Arunoday Singh, Omi Vaidya, Gajraj Rao, Divya Dutta",India,2018,13+,"Action, Comedy, International","When Dev finds out his wife is cheating on him, he secretly blackmails his wife and her lover as a form of revenge.",137
Black Robe,Bruce Beresford,"Lothaire Bluteau, Aden Young, Sandrine Holt",United States,1991,R,"Action, Drama","In the 17th century, a Jesuit missionary nicknamed Black Robe by the natives and his small party of companions try reaching the Huron tribe in Canada all while facing mistrust, Iroquois warring parties and harsh winter conditions.",101
Bhoot Part One - The Haunted Ship,Bhanu Pratap Singh,"Vicky Kaushal, Bhumi Pednekar, Ashutosh Rana",India,2020,16+,"Horror, International","In June 2012, A huge, dead, unmanned ship-“Sea Bird”, on its way to a shipyard, broke its ties and ran ashore Juhu beach. Prithvi, a shipping officer recovering from psychotic depression due to the loss of his family, is in charge of getting Sea Bird back afloat.",110
Bhoot Chaturdashi,Shabbir Mallick,"Aryann Bhowmik, Ena Saha, Deepsheta Mitra, Soumendra Bhattacharya",India,2019,13+,Horror,Four youngsters head out to an abandoned house to shoot a documentary. What starts off as a regular fun road trip slowly becomes a dangerously haunting experience as a series of strange and unfortunate events start happening to them.,98
Bharat,Ali Abbas Zafar,"Salman Khan, Katrina Kaif, Jackie Shroff, Disha Patani, Sunil Grover, Guest Appearance - Tabu",India,2019,13+,"Drama, International","Bharat is a journey of a man and a nation together. At the cusp of India's birth as an Independent nation, a family makes an arduous journey to freedom. Played by Indian superstar, Salman Khan in the title role, with Katrina Kaif, Sunil Grover, Tabu and Disha Patni, Bharat is an entertaining and endearing film about a man’s sacrifices to fulfill a promise made to his father.",155
Beyond the Sky,Fulvio Sestito,"Ryan Carnes, Peter Stormare, Dee Wallace, Martin Sensmeier, Jordan Hinson, Don Stark",United States,2018,18+,"Science Fiction, Suspense","Chris Norton has been hearing about alien abductions his entire life but, in his gut, he knows they are not real. Setting out to disprove the alien abduction phenomenon once and for all, he attends a UFO convention to meet alleged abductees and reveal the truth behind their experiences.",82
Be Somebody,Joshua Caldwell,"Matt Espinosa, Sarah  Jeffery, Allison Paige",United States,2016,PG,Comedy,A Pop Superstar Matthew Espinosa eager to escape the burden of fame meets an independent small town girl with big dreams Sarah Jeffery. Together they embark on a unexpected journey of friendship first love and self discovery.,87
Bastille - ReOrchestrated,"Tom Middleton, Toby L",Bastille,United Kingdom,2021,16+,"Documentary, Music Videos and Concerts","A bracingly honest new documentary sourced from hundreds of hours of unseen archive and all-new conversations captured during the pandemic, the film features open and frank insights from each band member plus collaborators inextricably linked to the group's orchestral adventures.",71
Barista,Rock Baijnauth,"Truman Severson, Charles Babinski, Charlie Habegger, Eden-Marie Abramowicz, Ryan Redden",United States,2015,16+,"Documentary, Special Interest","Once a year, thousands of baristas square off in competitions around the U.S., but only one will become the National Champion. BARISTA takes the viewer on a humorous, emotional and enlightening look into the unimaginable world of coffee competitions and the passionate, lovable and quirky characters that devote their lives to them.",102
Ayogya,Venkat Mohan,"Vishal, Raashi Khanna, Parthiban",India,2019,13+,"Action, Drama, International",A corrupt police officer decides to alter his life choices and change his actions after her encounters the death of a young innocent child.,148
Ashley,Dean Matthew Ronalds,"Nicole Arianna Fox, Michael Madsen, Holly Taylor",United States,2013,13+,Drama,"A teenage girl, distraught from her vain attempt to connect with her estranged mother, resorts to cutting herself. When she develops an online relationship with an older woman, she learns to accept her sexuality and the endless solitude of sprawling suburbia.",91
Any Day Now,Travis Fine,"Alan Cumming, Garret Dillahunt",United States,2012,R,"Drama, LGBTQ","Based on a true story from the 1970s, Any Day Now is a powerful tale of love, acceptance and family. When a teenager with Down syndrome is abandoned by his mother, a gay couple take him in and become the loving family he's never had. But when their living arrangement is discovered, the men are forced to fight a biased legal system to save the life of the child they have come to love as their own.",98
Andy Murray: Resurfacing,Olivia Cappuccini,Andy Murray,United Kingdom,2019,16+,Documentary,"A documentary film that tracks the tennis star’s devastating injury journey between 2017-2019. From the front lines of surgical theatres, to the intimate corners of his home, we live alongside and witness Andy at his most vulnerable. Considered Britain’s greatest sportsman ever, we see why Andy puts himself through the unimaginable to get back to the sport he loves.",109
Amal,Richie Mehta,"Rupinder Nagra, Naseeruddin Shah, Seema Biswas, Koel Purie, Vik Sahay, Roshan Seth",Canada,2008,18+,Drama,"Amal is an emotionally evocative story about an auto-rickshaw driver in New Delhi (Amal) who is content with his small, but vital role in life. One day he drives an eccentric billionaire (G.K. Jayaram) who, is searching the streets for the last morsel of humanity and someone he can leave all his money to, and Amal's life may change forever.",104
Aadai,Rathna Kumar,"Amala Paul, Ramya Subramanian, Ananya Ramaprasad, Sriranjani, Vivek Prasanna",India,2019,18+,Suspense,A free-spirited girl gets the shock of her life when she finds herself without any clothes in an abandoned building after a late-night party.,127
A Girl Like Her,Amy S. Weber,"Hunter King, Lexi Ainsworth, Jimmy Bennett",United States,2013,16+,Drama,"Everybody's dream girl. One girl's nightmare. Based on a million true stories, a girl like her follows 16-year-old Jessica and her hidden camera that documents the merciless bullying handed down by Avery, the most popular girl in school.",92
9/11 Phone Calls from the Towers,James Kent,Steven Mackintosh,United Kingdom,2009,16+,"Documentary, Special Interest","September 11th 2001 is the most terrifying and enduring tragedy of our time. The images of that day stay with all of us; but for many, the most powerful legacy of that fateful day is the voices calling from inside the towers, whether telling loved ones they were safe, saying goodbye when all hope was lost, or even seeking comfort from strangers in a desperate call for help.",74
36 Husbands,Michael Glover,"Christa Pasch, Roberta Bianchini, Nadine Nourney, Dominic Anglim, Howard Corlett, Tony Moore, Felix Kosse, Michael Glover, Robyn Rosenkrantz",United States,2020,13+,Comedy,"36 Husbands is a mystical, musical, Kung Fu spy comedy starring 3 powerful women - and a bunch of husbands.",83
102 Not Out,Umesh Shukla,"Amitabh Bachchan, Rishi Kapoor, Jimit Trivedi",India,2018,13+,"Comedy, Drama","102 Not Out - is an ageless comedy that brings together Indian Cinema’s two biggest stalwarts-Amitabh Bachchan and Rishi Kapoor after 27 years, with the two legends playing father-son duo for the first time.",104
The Real Inglorious Bastards,Min Sook Lee,"Robert Nolan, Patrick O'Donnell, Fred Mayer, Gerald Schwab, John Billings, Ani Weber, Manfred Weber, Steve Shand, Erik Markewich, Sean Connolly Affleck, Shawn Devlin, Owen Bevan, Maarik Pinkney, Ben Davidson, Linzee Barclay",Canada,2012,13+,Documentary,"Go to the front lines of World War II in this war documentary, chronicling a group of Jewish agents for the American OSS who infiltrated Nazi territories, many of them German Jews returning to avenge Hitler's sinister acts.",52
The Mothman of Point Pleasant,Seth Breedlove,"Lyle Blackburn, Jeff Wamsley",United States,2017,13+,"Documentary, Drama, Horror","Learn the terrifying, true story about thirteen months that changed history! In November of 1966 a car full of kids encountered a creature unlike anything they'd ever seen before. In the weeks and months to follow, the monster (now known as The Mothman) was sighted again and again on country roads and around the state of West Virginia.",67
The Goldfinch,John Crowley,"Ansel Elgort, Oakes Fegley, Aneurin Barnard, Finn Wolfhard, Ashleigh Cummings, Willa Fitzgerald, Aimee Laurence, Sarah Paulson, Luke Wilson, Jeffrey Wright, Nicole Kidman, Denis O'Hare, Boyd Gaines, Peter Jacobson, Luke Kleintank, Robert Joy",United States,2019,R,Drama,Tragedy changes Theodore Decker's life after his mother was killed in a bombing at the Metropolitan Museum of Art. He holds on to a painting as hope from that tragic day. The Goldfinch.,149
The Big Sick,Michael Showalter,"Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano, Anupam Kher",United States,2017,R,"Comedy, Drama, Romance","The Big Sick is based on the real-life courtship between Pakistan-born comedian Kumail Nanjiani (Nanjiani) and grad student Emily Gordon (Zoe Kazan) who fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family’s expectations, and his true feelings.",120
Midnight Crossing,Roger Holzberg,"Faye Dunaway, Daniel J. Travanti, Kim Cattrall, John Laughlin, Ned Beatty",United States,1988,R,Suspense,A group of adventurers sneak into Cuba to try to recover one million dollars in cash that was hidden when Fidel Castro first took power.,97
Maara,Dhilip Kumar,"R.Madhavan, Shraddha Srinath, Sshivada, Mouli, Alexander Babu, M.S.Bhaskar, Guru Somasundaram, Kishore, Abhirami",India,2021,13+,Romance,"When Paaru sees a fairy tale she heard from a stranger as a child painted across the walls of a coastal town, she goes in search of the man who painted it – Maara.",150
Never Surrender: A Galaxy Quest Documentary,Jack Bennett,"Sigourney Weaver, Tim Allen, Sam Rockwell, Justin Long, Tony Shalhoub, Rainn Wilson, Enrico Colantoni, Brent Spiner, Wil Wheaton, Damon Lindelof, Greg Berlanti",United States,2019,13+,"Documentary, Science Fiction, Special Interest","With beloved cult classic Galaxy Quest reaching its 20th Anniversary, this star-studded anniversary documentary unveils how the film turned fans in to true heroes and predicted a future where geeks would rule the world! The cast and crew recall how a fire on set, the loss of a powerful director and an unconvinced studio couldn't stop the film that would never give up and never surrender!",87
Blood Fest,Owen Egerton,"Robbie Kay, Seychelle Gabriel, Jacob Batalon, Tate Donovan, Zachary Levi",United States,2018,18+,Horror,"Fans flock to a festival celebrating the most iconic horror movies, only to discover that the charismatic showman behind the event has a diabolical agenda. As festival goers start dying off, three teenagers must battle through various madmen to survive.",93
Anbirkiniyal,Gokul,"Keerthi Pandian, Arun Pandian, Praveen Raja",India,2021,ALL,"Drama, Suspense",True to her name the protagonist is a lovable girl. She doesn't return home from work one day and a search is triggered thereafter.,123
Tumhari Sulu,Suresh Triveni,"Vidya Balan, Neha Dhupia, Manav Kaul, Vijay Maurya, Santanu Ghatak, Malishka Mendonsa, Vibhawari Deshpande, Abhishek Sharrma, Seema Taneja, Sindhu Shekharan, Trupti Khamkar, Siddhaanth Samant, Uday Lagoo",India,2017,ALL,"Comedy, Drama, International","Vidya Balan (Sulochana a.k.a. Sulu) essays the role of a beautiful, enthusiastic and happy-go-lucky Mumbai housewife whose routine life changes when she unexpectedly lands herself with the exciting job of a night RJ (radio jockey) on a leading radio station.",139
The Last Black Man in San Francisco,Joe Talbot,"Jimmie Fails, Jonathan Majors, Danny Glover, Finn Wittrock, Tichina Arnold, Rob Morgan, Mike Epps",United States,2019,R,Drama,"Jimmie and his best friend Mont try to reclaim the home built by his grandfather, launching them on a poignant odyssey to find a place to call home.",121
The Identical,Dustin Marcellino,"Ray Liotta, Ashley Judd, Seth Green, Joe Pantoliano, Blake Rayne, Erin Cottrell, Brian Geraghty, Amanda Crew",United States,2014,PG,Drama,"The story of twin brothers separated at birth in the Great Depression. With different upbringings, one brother becomes a music legend while the other struggles to find a balance between his passion for music and trying to please his father. Starring Ray Liotta , Ashley Judd, and Seth Green.",107
